name,rating,reviews,location,salery,interview,job_ava
Samsung,3.9,7.9k,Consumer Electronics & Appliances | Noida +557 other locations,26.2k,593,59
Ericsson,4.0,7.9k,Telecom | Noida +160 other locations,42.3k,451,134
Cipla,4.1,7.8k,Pharma | Mumbai +281 other locations,25.3k,554,84
Wells Fargo,3.7,7.7k,Financial Services | Bangalore / Bengaluru +28 other locations,53.5k,650,231
Dr. Reddy's,4.0,7.6k,Pharma | Hyderabad / Secunderabad +205 other locations,25.3k,466,50
HGS,3.7,7.3k,BPO | Bangalore / Bengaluru +118 other locations,21.2k,262,10
ICICI Prudential Life Insurance,4.0,7.2k,Insurance | Mumbai +496 other locations,22.1k,456,690
Amazon Development Centre India,3.9,7.2k,Internet | Hyderabad / Secunderabad +145 other locations,36.1k,844,9
Optum Global Solutions,4.0,7.2k,IT Services & Consulting | Hyderabad / Secunderabad +60 other locations,46.3k,721,231
JPMorgan Chase & Co.,3.8,7.1k,Financial Services | Bangalore / Bengaluru +52 other locations,80k,820,685
Delhivery,3.8,7k,Logistics | Gurgaon / Gurugram +719 other locations,20k,561,99
Sun Pharmaceutical Industries,4.1,7k,Pharma | Vadodara +255 other locations,22.9k,616,354
Jana Small Finance Bank,3.8,7k,Banking | Bangalore / Bengaluru +401 other locations,14.4k,289,8
Hexaware Technologies,3.5,6.9k,IT Services & Consulting | Chennai +67 other locations,51k,794,541
JSW Steel,3.9,6.9k,Iron & Steel | Ballari +179 other locations,29.2k,725,155
L&T Construction,4.0,6.8k,Engineering & Construction | Chennai +412 other locations,18.8k,887,--
Lupin,4.1,6.8k,Pharma | Pune +194 other locations,22.1k,411,41
Zydus Lifesciences,4.0,6.7k,Pharma | Ahmedabad +171 other locations,19.4k,390,29
Hindustan Unilever,4.2,6.7k,FMCG | Mumbai +509 other locations,19.5k,426,45
Equitas Small Finance Bank,4.3,6.6k,Banking | Chennai +440 other locations,12.6k,493,22
KPMG India,3.4,6.6k,Management Consulting | Bangalore / Bengaluru +104 other locations,60.1k,884,1.4k
ITC,3.9,6.5k,FMCG | Bangalore / Bengaluru +359 other locations,23.6k,637,70
Ekart Logistics,3.9,6.5k,Bangalore / Bengaluru +708 other locations,15.1k,375,--
Axis Max Life Insurance,4.0,6.4k,Insurance | New Delhi +474 other locations,19.2k,374,279
Ujjivan Small Finance Bank,4.0,6.4k,Banking | Bangalore / Bengaluru +510 other locations,12.6k,290,137
FIS,3.8,6.2k,FinTech | Pune +58 other locations,38.1k,518,158
Tata Projects,4.2,6.1k,Engineering & Construction | Mumbai +269 other locations,21.5k,546,22
Megha Engineering & Infrastructures,3.9,6.1k,Engineering & Construction | Hyderabad / Secunderabad +388 other locations,17.7k,529,7
L&T Technology Services,3.1,5.9k,IT Services & Consulting | Bangalore / Bengaluru +93 other locations,40.7k,593,4
HCL Group,3.5,5.9k,IT Services & Consulting | Chennai +95 other locations,41.3k,500,--
Indian Army,4.7,5.9k,Defence & Aerospace | New Delhi +354 other locations,9.4k,193,--
Coforge,3.2,5.9k,IT Services & Consulting | Noida +103 other locations,45.3k,629,238
Oracle,3.6,5.9k,Software Product | Bangalore / Bengaluru +55 other locations,59.9k,917,1.2k
IIFL Finance,4.0,5.9k,NBFC | Mumbai +770 other locations,13.5k,303,50
Bajaj Allianz Life Insurance,3.8,5.8k,Insurance | Pune +580 other locations,16.7k,417,78
JLL,4.1,5.7k,Real Estate | Gurgaon / Gurugram +81 other locations,23.1k,447,5.4k
Muthoot Finance,3.6,5.7k,NBFC | Bangalore / Bengaluru +741 other locations,12.7k,314,80
eClerx,3.1,5.7k,IT Services & Consulting | Pune +30 other locations,30.2k,605,849
Omega Healthcare,3.8,5.7k,BPO | Chennai +63 other locations,25.2k,504,206
Udaan,4.0,5.6k,Internet | Bangalore / Bengaluru +365 other locations,16.7k,362,7
Virtusa Consulting Services,3.7,5.6k,IT Services & Consulting | Hyderabad / Secunderabad +51 other locations,54.8k,631,33
HSBC Group,3.9,5.6k,Financial Services | Bangalore / Bengaluru +63 other locations,40.7k,529,352
Cholamandalam Investment & Finance,3.8,5.5k,Financial Services | Chennai +789 other locations,12k,241,21
Indiamart Intermesh,3.6,5.5k,Internet | Noida +165 other locations,19.8k,719,913
DMart,3.9,5.4k,Retail | Mumbai +237 other locations,17.2k,501,197
Aurobindo Pharma,4.0,5.4k,Pharma | Hyderabad / Secunderabad +109 other locations,20.8k,277,12
Siemens,4.0,5.4k,Industrial Automation | Bangalore / Bengaluru +149 other locations,32.3k,478,441
Shapoorji Pallonji Group,4.1,5.3k,Engineering & Construction | Mumbai +187 other locations,15.1k,394,50
Standard Chartered,3.6,5.3k,Banking | Chennai +67 other locations,41.4k,309,--
CGI Group,4.0,5.3k,IT Services & Consulting | Bangalore / Bengaluru +43 other locations,45.2k,547,229
GlobalLogic,3.5,5.3k,IT Services & Consulting | Hyderabad / Secunderabad +55 other locations,38.7k,655,52
Firstsource Solutions,3.6,5.2k,BPO | Bangalore / Bengaluru +69 other locations,23.3k,341,158
BigBasket,3.9,5.2k,Internet | Bangalore / Bengaluru +131 other locations,18.4k,428,95
Access Healthcare,3.7,5.2k,Healthcare | Chennai +57 other locations,26.2k,357,534
ICICI Lombard General Insurance Company,3.6,5.2k,Insurance | Mumbai +299 other locations,19.6k,333,180
Bosch Global Software Technologies,3.8,5.2k,IT Services & Consulting | Bangalore / Bengaluru +44 other locations,38.5k,373,220
Apollo Hospitals,4.0,5.2k,Healthcare | Chennai +222 other locations,16k,440,73
SMFG India Credit,3.9,5.1k,NBFC | Mumbai +565 other locations,11.1k,191,117
Mahindra Finance,3.9,5.1k,NBFC | Mumbai +706 other locations,11.8k,191,551
Citicorp,3.7,5.1k,Financial Services | Pune +67 other locations,49.3k,604,--
