name,rating,reviews,location,salery,interview,job_ava
Baazar Retail Private Limited,4.5,1.1k,Retail | Kolkata +104 other locations,1.4k,80,--
Qualcomm,3.7,1.1k,Semiconductors | Hyderabad / Secunderabad +17 other locations,12.6k,281,368
Aerial Telecom Solutions,4.1,1.1k,Telecom | Mohali +105 other locations,2.1k,79,11
Aarvee Associates,3.9,1.1k,Engineering & Construction | Hyderabad / Secunderabad +157 other locations,3.2k,89,--
DISH TV,3.4,1.1k,Broadcasting | Noida +148 other locations,3.2k,68,10
ExcelR,3.7,1.1k,Education & Training | Bangalore / Bengaluru +23 other locations,937,99,23
ACG Worldwide,3.9,1.1k,Pharma | Mumbai +30 other locations,3.7k,78,32
Kirloskar Oil Engines,4.1,1.1k,Industrial Machinery | Pune +101 other locations,3.8k,56,11
JTEKT,4.1,1.1k,Auto Components | Gurgaon / Gurugram +27 other locations,4.1k,81,3
VMware Software,4.4,1.1k,Software Product | Bangalore / Bengaluru +18 other locations,9.2k,145,16
Rockman Industries,3.8,1.1k,Auto Components | Haridwar +38 other locations,3.7k,88,11
Willis Towers Watson,3.7,1.1k,Management Consulting | Mumbai +17 other locations,7.4k,107,2
Thyrocare Technologies,3.7,1.1k,Healthcare | Mumbai +71 other locations,4.3k,81,7
Wistron,3.9,1.1k,Electronics Manufacturing | Bangalore / Bengaluru +22 other locations,5.2k,88,--
Colliers India,3.9,1.1k,Real Estate | Bangalore / Bengaluru +44 other locations,4.6k,83,66
JK Lakshmi Cement,3.9,1.1k,Building Material | New Delhi +136 other locations,3.5k,73,--
PayPal,3.8,1.1k,FinTech | Bangalore / Bengaluru +14 other locations,8.7k,233,--
Jet Airways,4.6,1.1k,Aviation | Mumbai +44 other locations,2k,23,--
Muthoot Microfin,4.0,1.1k,NBFC | Kochi +314 other locations,2.4k,47,10
Diageo,3.9,1.1k,Beverage | Bangalore / Bengaluru +92 other locations,5.9k,83,50
Nielsen,3.5,1.1k,Analytics & KPO | Bangalore / Bengaluru +72 other locations,5.9k,143,3
Apex Group,2.7,1.1k,Financial Services | Pune +25 other locations,6.9k,169,211
Saipem,4.1,1.1k,Engineering & Construction | Chennai +43 other locations,3.2k,51,2
Podar International School,4.1,1.1k,Education & Training | Mumbai +123 other locations,3.1k,75,2
Viraj Profiles,3.8,1.1k,Iron & Steel | Mumbai +22 other locations,4.3k,86,9
Coca-Cola Company,4.1,1.1k,Beverage | Bangalore / Bengaluru +189 other locations,3k,96,6
Ahluwalia Contracts India,4.0,1.1k,Engineering & Construction | New Delhi +57 other locations,3.2k,67,17
Johnson Lifts,3.9,1.1k,Industrial Machinery | Chennai +71 other locations,3.5k,47,--
Genius Consultants,3.7,1.1k,Recruitment | Kolkata +97 other locations,3.8k,68,1
DLF,3.9,1.1k,Real Estate | Gurgaon / Gurugram +33 other locations,4.3k,89,1
Bajaj Motors,3.9,1.1k,Automobile | Gurgaon / Gurugram +81 other locations,3.2k,61,--
Kalpataru Limited,4.1,1k,Real Estate | Mumbai +77 other locations,4.1k,166,18
Salesforce,4.0,1.1k,Software Product | Hyderabad / Secunderabad +38 other locations,11.3k,239,101
Innova Solutions,3.3,1k,IT Services & Consulting | Hyderabad / Secunderabad +34 other locations,7.3k,93,63
Patra Corporation,3.6,1k,BPO | Visakhapatnam +19 other locations,4.6k,88,9
KIMS Hospital,3.9,1k,Healthcare | Hyderabad / Secunderabad +56 other locations,3.2k,51,6
Strides Pharma,3.9,1k,Pharma | Bangalore / Bengaluru +32 other locations,4.1k,70,--
Edelweiss Life Insurance,3.6,1k,Insurance | Mumbai +122 other locations,3.6k,55,43
London Stock Exchange Group,3.8,1k,Financial Services | Bangalore / Bengaluru +12 other locations,9.7k,150,25
Jacobs Engineering Group,4.1,1k,Engineering & Construction | Mumbai +43 other locations,4.8k,83,18
Piaggio,3.5,1k,Automobile | Pune +76 other locations,3.7k,70,2
HFCL Limited,3.8,1k,Telecom | Hyderabad / Secunderabad +109 other locations,4k,74,26
SYSKA LED Lights,2.8,1k,Consumer Electronics & Appliances | Pune +157 other locations,2.4k,58,--
Dhoot Transmission,3.6,1k,Power | Aurangabad +39 other locations,3.8k,63,8
Onward Technologies Inc,2.9,1k,IT Services & Consulting | Pune +63 other locations,5.7k,84,17
MDIndia Health Insurance TPA,3.6,1k,Insurance | Pune +85 other locations,3.6k,68,46
Wonder Home Finance,4.7,1k,Financial Services | Jaipur +112 other locations,680,182,9
NetAmbit,3.9,1k,BPO | Noida +127 other locations,2.9k,123,4
PharmEasy,3.7,1k,Internet | Mumbai +62 other locations,4.8k,88,21
Motilal Oswal Home Finance,4.4,1k,Financial Services | Mumbai +125 other locations,1.2k,124,--
Adani Ports and SEZ,3.8,1k,Ports & Shipping | Mundra +63 other locations,3.8k,71,--
Klm Axiva Finvest,4.4,1k,Financial Services | Bangalore / Bengaluru +156 other locations,729,433,4
Barbeque Nation,4.0,1k,Hospitality | Bangalore / Bengaluru +77 other locations,2.5k,44,16
Aptiv,3.4,1k,Auto Components | Bangalore / Bengaluru +25 other locations,7.4k,117,16
Fusion Microfinance,4.0,1k,NBFC | New Delhi +275 other locations,2.5k,44,--
GAIL,4.4,1k,Oil & Gas | New Delhi +102 other locations,3.1k,73,--
Biocon Biologics,3.6,1k,Biotechnology | Bangalore / Bengaluru +25 other locations,6.3k,98,5
Advantmed,4.3,1k,Healthcare | Ahmedabad +12 other locations,2.5k,156,15
Birla Corporation,4.1,1k,Building Material | Kolkata +137 other locations,3.5k,65,--
Imperial Auto Industries,3.9,1k,Auto Components | Faridabad +37 other locations,4.4k,69,13
CaratLane - A Tata Product,4.1,1k,Jewellery | Chennai +76 other locations,2.7k,61,83
H.G. Infra Engineering,4.0,1k,Engineering & Construction | Jaipur +94 other locations,3k,97,9
Spandana Sphoorty Financial,3.7,1k,NBFC | Hyderabad / Secunderabad +300 other locations,2.2k,46,2
Stanza Living,3.0,1k,Internet | Bangalore / Bengaluru +34 other locations,3.4k,83,25
Spencer's Retail,3.8,1k,Retail | Kolkata +61 other locations,2.7k,57,4
Indira IVF Hospital,4.0,1k,Mumbai +102 other locations,2.7k,69,1.2k
Hyundai Mobis,3.8,1k,Auto Components | Chennai +46 other locations,4.8k,74,13
Zydus Wellness,4.1,1k,FMCG | Ahmedabad +122 other locations,2.7k,98,47
Meril,3.6,1k,Pharma | Vapi +72 other locations,4.4k,73,24
Syngenta,4.1,1k,Agriculture | Pune +161 other locations,3.5k,74,52
Zetwerk,4.0,1k,Industrial Machinery | Bangalore / Bengaluru +108 other locations,3.6k,109,24
SK Finance Limited,3.8,1k,NBFC | Jaipur +234 other locations,3k,79,9
Bharat Sanchar Nigam,3.9,999,Telecom | Bangalore / Bengaluru +230 other locations,2.5k,46,--
Aparna Constructions and Estates,3.9,997,Real Estate | Hyderabad / Secunderabad +22 other locations,3.7k,103,53
Sundaram Finance,4.0,995,NBFC | Chennai +236 other locations,2.8k,40,12
Tube Investments of India,3.8,994,Engineering & Construction | Chennai +62 other locations,3.3k,69,12
Indostar Capital Finance Limited,4.4,993,NBFC | Mumbai +298 other locations,1.9k,169,6
Kirloskar Brothers,3.7,992,Industrial Machinery | Pune +69 other locations,4.1k,82,14
Prism Johnson,3.8,992,Building Material | Mumbai +140 other locations,4.2k,60,--
Sri Chaitanya Educational Institutions,3.8,992,Education & Training | Hyderabad / Secunderabad +96 other locations,2.9k,45,2
DP World,3.7,992,Logistics | Mumbai +73 other locations,4.2k,82,109
Unicharm,4.0,992,FMCG | Gurgaon / Gurugram +177 other locations,2.9k,64,1
Federal Bank,3.8,991,Banking | Mumbai +147 other locations,5.1k,114,--
Electronica Finance,4.2,991,NBFC | Pune +164 other locations,2.6k,97,40
Sri Chaitanya Techno Schools,3.5,990,Education & Training | Bangalore / Bengaluru +146 other locations,3.2k,66,--
Zf Rane Automotive,3.9,989,Auto Components | Chennai +48 other locations,3.8k,61,--
MAHLE ANAND Filter Systems,3.9,988,Auto Components | Pune +36 other locations,3.2k,34,--
Ceasefire Industries,3.2,987,Industrial Machinery | New Delhi +77 other locations,2.5k,118,6
Siemens Gamesa Renewable Power Private Limited,4.0,987,Power | Bangalore / Bengaluru +63 other locations,4.8k,56,15
1point1 Solutions,3.4,986,BPO | Bangalore / Bengaluru +17 other locations,3k,83,84
Schaeffler India,4.0,985,Auto Components | Vadodara +22 other locations,5k,61,--
Power Grid Corporation of India,4.3,984,Power | Gurgaon / Gurugram +217 other locations,1.9k,70,--
V2 Retail,3.4,984,Retail | New Delhi +115 other locations,2.5k,74,57
HPCL-Mittal Energy Limited,4.3,984,Petrochemicals | Bathinda +30 other locations,4.4k,42,--
TK Elevator,3.8,982,Pune +75 other locations,4k,62,21
Sahara India Pariwar,3.8,980,Broadcasting | Lucknow +241 other locations,2.5k,28,--
TKIL,4.1,980,Industrial Machinery | Pune +57 other locations,4.3k,69,--
Nexa,4.0,979,Automobile | New Delhi +201 other locations,2.3k,39,5
Temenos,3.1,978,Software Product | Chennai +10 other locations,8.8k,94,35
Vedanta Aluminium,3.9,978,Metals & Mining | Jharsuguda +37 other locations,4.4k,61,--
INDO-MIM,4.1,975,Metals & Mining | Bangalore / Bengaluru +30 other locations,4k,70,8
Kohler,3.7,973,Building Material | Pune +50 other locations,4.5k,68,13
Hikal,3.8,972,Pharma | Bangalore / Bengaluru +22 other locations,4.4k,71,63
Hindustan Zinc,3.7,972,Metals & Mining | Udaipur +34 other locations,4.3k,51,--
Gmmco,4.0,970,Industrial Machinery | Chennai +85 other locations,2.8k,50,8
CALIBEHR,4.0,970,IT Services & Consulting | Mumbai +165 other locations,2.6k,62,17
Air India Sats Airport Services,3.6,968,Aviation | New Delhi +44 other locations,2.2k,63,5
Dana Anand,4.1,967,Auto Components | Pune +45 other locations,2.8k,50,--
Leadec India,4.0,966,Industrial Automation | Pune +72 other locations,3.3k,102,14
Aspire Systems,3.8,966,IT Services & Consulting | Chennai +22 other locations,9.3k,123,88
iQor Global Services,3.3,965,BPO | Noida +50 other locations,2.4k,38,42
Deccan Fine Chemicals,3.7,965,Agro Chemicals | Tuni +31 other locations,4.7k,94,1
MakeMyTrip,3.5,961,Internet | Gurgaon / Gurugram +45 other locations,6.9k,137,24
TradeIndia (Infocom Network Private Limited),3.3,961,Internet | New Delhi +41 other locations,4.3k,81,10
Altisource,3.5,960,Real Estate | Bangalore / Bengaluru +10 other locations,3.7k,42,90
Metropolis Healthcare,3.9,960,Healthcare | Mumbai +95 other locations,3.4k,61,16
Kinara Capital,4.3,959,NBFC | Bangalore / Bengaluru +112 other locations,2.2k,87,30
MG Motor,3.8,957,Automobile | Vadodara +94 other locations,4.5k,74,21
Royal Migration Solutions,4.9,957,Dubai +12 other locations,6,1,--
Pernod Ricard,3.6,956,Beverage | Gurgaon / Gurugram +113 other locations,4.3k,57,13
Thermo Fisher Scientific,3.8,955,Biotechnology | Bangalore / Bengaluru +32 other locations,6k,97,123
Godrej Agrovet,3.9,954,Agriculture | Mumbai +133 other locations,3.2k,59,3
Aarvi Encon,3.9,952,Recruitment | Mumbai +120 other locations,2.8k,72,1
Otis Elevator,4.1,950,Industrial Machinery | Bangalore / Bengaluru +69 other locations,3.8k,57,135
CarDekho Group,3.6,949,Internet | Gurgaon / Gurugram +78 other locations,4.8k,83,24
Uber,4.2,948,Internet | Hyderabad / Secunderabad +49 other locations,7.4k,159,215
Amara Raja Group,4.1,946,Auto Components | Tirupati +74 other locations,3.4k,73,--
Mando Automotive,4.0,943,Auto Components | Chennai +21 other locations,4.3k,54,--
JW Marriott,4.1,942,Hospitality | Mumbai +42 other locations,2k,45,--
Allianz Technology,4.0,942,IT Services & Consulting | Pune +14 other locations,6.6k,70,5
ValueMomentum,3.1,943,IT Services & Consulting | Hyderabad / Secunderabad +11 other locations,8.4k,91,40
Episource,3.9,942,IT Services & Consulting | Chennai +19 other locations,3.3k,226,1
Visionet Systems,3.3,940,IT Services & Consulting | Bangalore / Bengaluru +17 other locations,5.7k,77,29
NxtWave,3.6,939,EdTech | Hyderabad / Secunderabad +42 other locations,2.4k,231,468
Balkrishna Industries,4.0,939,Auto Components | Bhuj +29 other locations,3.7k,55,--
Secure Meters,4.0,939,Electronics Manufacturing | Udaipur +71 other locations,4.3k,78,25
Incheon Motors,4.8,938,Automobile | Thrissur +16 other locations,289,236,5
ICON Plc,4.0,937,Clinical Research | Chennai +27 other locations,3.9k,113,58
Nilkamal,3.7,937,Furniture & Furnishing | Mumbai +106 other locations,3.1k,68,13
eClinicalWorks,3.7,937,Software Product | Mumbai +17 other locations,4.8k,76,13
Knorr-Bremse,3.5,936,Auto Components | Pune +28 other locations,4.6k,63,14
Colgate Palmolive,4.0,935,FMCG | Mumbai +110 other locations,4.1k,78,5
BirlaNu,4.0,935,Building Material | Hyderabad / Secunderabad +102 other locations,2.7k,71,3
TechnipFMC,4.0,934,Industrial Machinery | Hyderabad / Secunderabad +43 other locations,4.8k,79,78
Fractal Analytics,4.0,931,Emerging Technologies | Bangalore / Bengaluru +17 other locations,9.3k,221,82
Mastek,3.6,931,IT Services & Consulting | Mumbai +22 other locations,6.3k,129,21
AstraZeneca,4.0,930,Pharma | Chennai +49 other locations,6.8k,63,2
Thomas Cook,4.0,929,Travel & Tourism | Mumbai +79 other locations,3.8k,85,--
Vertiv,3.9,929,Electronics Manufacturing | Pune +50 other locations,4k,56,43
SitusAMC,3.3,929,Software Product | Bangalore / Bengaluru +19 other locations,5k,68,--
Aircel,4.5,928,Telecom | New Delhi +115 other locations,1.3k,9,--
Petrofac,4.2,928,Oil & Gas | Chennai +40 other locations,2.3k,44,10
Wheels,3.9,928,Auto Components | Chennai +43 other locations,4.9k,67,2
Netcracker Technology,3.0,927,IT Services & Consulting | Hyderabad / Secunderabad +11 other locations,8.6k,137,2
Vistaar Finance,3.9,927,NBFC | Bangalore / Bengaluru +188 other locations,1.9k,28,5
Kendriya Vidyalaya Sangathan,4.3,926,Education & Training | New Delhi +226 other locations,1.6k,61,--
Asirvad Microfinance,3.8,925,NBFC | Chennai +266 other locations,2.1k,36,--
Gharda Chemicals Limited,3.9,923,Agro Chemicals | Mumbai +68 other locations,4.3k,76,1
Greenko Group,3.8,923,Power | Hyderabad / Secunderabad +71 other locations,3.5k,62,3
Lakshmi Machine Works,3.9,922,Industrial Machinery | Coimbatore +28 other locations,4.1k,60,22
Nasser S. Al Hajri Corporation,3.5,920,Engineering & Construction | Chennai +52 other locations,1.8k,37,--
Pristyn Care,3.3,920,Internet | Gurgaon / Gurugram +32 other locations,4k,82,7
Perfetti Van Melle,4.2,919,Food Processing | Gurgaon / Gurugram +150 other locations,2.7k,35,15
Suzuki Motorcycle,4.0,918,Automobile | Gurgaon / Gurugram +114 other locations,3.6k,48,4
Lemon Tree Hotels,4.1,918,Hospitality | New Delhi +72 other locations,2.6k,55,1
Navitasys India,4.1,917,Electronics Manufacturing | Bawal +22 other locations,2.5k,123,--
Barclays Global Service Centre,3.9,917,IT Services & Consulting | Pune +13 other locations,7.6k,94,--
TÜV NORD,3.8,917,Other | Pune +76 other locations,3.8k,72,29
Softenger,4.0,916,IT Services & Consulting | Pune +32 other locations,2.5k,64,16
GVPR Engineers,3.8,915,Engineering & Construction | Hyderabad / Secunderabad +86 other locations,2.9k,65,24
Star Cement,4.0,915,Building Material | Guwahati +71 other locations,3k,80,7
Tikona Infinet,3.5,913,Telecom | Mumbai +46 other locations,2.7k,33,9
Cult.fit,3.5,913,Fitness & Wellness | Bangalore / Bengaluru +37 other locations,3.9k,76,23
C&S Electric,4.0,912,Electrical Equipment | Noida +55 other locations,3.5k,62,3
Encora,3.4,913,IT Services & Consulting | Bangalore / Bengaluru +19 other locations,7.2k,110,52
Bounteous x Accolite,3.3,911,IT Services & Consulting | Bangalore / Bengaluru +13 other locations,7.2k,235,263
Pizza Hut,3.9,910,Hospitality | New Delhi +126 other locations,2k,45,--
Gannon Dunkerley & Co.,3.5,910,Engineering & Construction | Kolkata +75 other locations,2k,38,1
Pricol,3.8,909,Auto Components | Coimbatore +31 other locations,4.1k,52,9
Westside,3.9,909,Retail | Mumbai +104 other locations,2k,45,--
Comviva Technology,2.9,907,IT Services & Consulting | Gurgaon / Gurugram +19 other locations,5.7k,80,108
Lowe's,4.1,906,Retail | Bangalore / Bengaluru +9 other locations,9.1k,140,56
Jubilant Pharmova,3.7,904,Pharma | Noida +59 other locations,3.4k,60,11
Capacit'e Infraprojects,3.7,903,Engineering & Construction | Mumbai +35 other locations,3.1k,64,18
Collins Aerospace,3.8,902,Defence & Aerospace | Bangalore / Bengaluru +11 other locations,6.9k,80,2
VIP Industries,3.7,902,Retail | Mumbai +89 other locations,3k,46,12
LOREAL,3.8,901,Beauty & Personal Care | Mumbai +95 other locations,3.6k,62,9
NBC Bearings,3.8,900,Auto Components | Jaipur +27 other locations,3.4k,96,3
Hathway,3.4,898,Broadcasting | Mumbai +54 other locations,3.4k,46,10
IIFL Home Finance,3.8,898,NBFC | Gurgaon / Gurugram +234 other locations,2.4k,49,4
Aparajitha Corporate Services,3.8,897,Legal | Madurai +91 other locations,2.9k,49,13
FLSmidth,3.6,896,Engineering & Construction | Chennai +22 other locations,4.1k,41,3
Innodata India Private Limited,3.6,895,IT Services & Consulting | Noida +23 other locations,2.4k,87,34
Quantiphi Analytics Solutions Private Limited,3.1,894,IT Services & Consulting | Bangalore / Bengaluru +16 other locations,6.7k,193,93
Sundaram Clayton,3.9,890,Auto Components | Chennai +29 other locations,2.7k,33,--
Hitachi Payment Services,3.6,889,FinTech | Mumbai +76 other locations,3.2k,52,--
Everest Industries,3.9,888,Building Material | Mumbai +91 other locations,3k,57,11
Rebel Foods,3.6,888,Internet | Mumbai +75 other locations,3.3k,69,30
United Breweries,3.3,888,Beverage | Bangalore / Bengaluru +99 other locations,3.2k,52,3
QX Global Group,3.1,888,BPO | Ahmedabad +18 other locations,3.9k,104,43
Fortrea Development India Private Limited,3.8,886,Clinical Research | Bangalore / Bengaluru +9 other locations,4.6k,79,--
Amazon Web Services,3.9,885,IT Services & Consulting | Bangalore / Bengaluru +61 other locations,6k,178,--
Napino Auto & Electronics,3.9,884,Auto Components | Gurgaon / Gurugram +20 other locations,3.7k,64,1
Xebia,3.2,884,IT Services & Consulting | Gurgaon / Gurugram +20 other locations,5.5k,88,37
General Mills,4.1,883,Food Processing | Mumbai +53 other locations,4.6k,74,126
Shyam Steel Group,3.5,883,Iron & Steel | Kolkata +74 other locations,3.3k,73,15
Financial Software & Systems,3.8,883,Software Product | Chennai +31 other locations,5.2k,63,10
VeeTechnologies,3.8,879,IT Services & Consulting | Bangalore / Bengaluru +38 other locations,4.4k,97,94
AJIO,3.6,879,Internet | Bangalore / Bengaluru +199 other locations,2.7k,65,--
Lumina Datamatics,3.1,879,IT Services & Consulting | Mumbai +19 other locations,4.3k,62,55
Atlas Copco,4.1,878,Industrial Machinery | Pune +54 other locations,4.8k,95,12
ALTEN,3.6,877,IT Services & Consulting | Bangalore / Bengaluru +22 other locations,5.6k,109,74
Natco Pharma,4.0,876,Pharma | Hyderabad / Secunderabad +59 other locations,3.3k,51,5
BGR Energy Systems,3.8,875,Engineering & Construction | Chennai +52 other locations,3.2k,46,--
Svatantra Microfin,4.0,875,NBFC | Mumbai +282 other locations,1.9k,38,2
Mahindra Automotives,3.9,874,Automobile | Pune +117 other locations,4.7k,43,--
Amazon Sellers Services,4.0,873,Retail | Bangalore / Bengaluru +66 other locations,2.3k,125,--
Crompton Greaves Consumer Electricals,3.7,873,Consumer Electronics & Appliances | Mumbai +100 other locations,3.5k,47,23
MasterCard,3.8,872,FinTech | Pune +14 other locations,10.1k,156,477
Netscribes,2.6,871,Analytics & KPO | Kolkata +17 other locations,3k,91,34
Jaro Education,3.3,872,EdTech | Mumbai +23 other locations,2.2k,106,18
Syrma SGS Technologies,4.0,871,Electronics Manufacturing | Chennai +20 other locations,3k,60,5
Tata Cummins,4.4,869,Auto Components | Jamshedpur +41 other locations,1.1k,72,--
Timken,3.9,869,Industrial Machinery | Jamshedpur +42 other locations,4k,53,3
Vaco Binary Semantics,3.2,869,IT Services & Consulting | Gurgaon / Gurugram +45 other locations,4.8k,87,2
Apotex Research,3.8,869,Pharma | Bangalore / Bengaluru +14 other locations,2.6k,35,48
JSW Group,3.8,869,Iron & Steel | Mumbai +91 other locations,3.9k,118,1
Arohan Financial Services,3.8,869,NBFC | Kolkata +210 other locations,2.1k,36,19
Lavender Technology,4.9,868,IT Services & Consulting | Hyderabad / Secunderabad +8 other locations,16,4,--
ALLEN Career Institute,3.8,868,Education & Training | Kota +65 other locations,3.8k,63,26
Tata Capital Housing Finance,4.0,868,NBFC | Mumbai +152 other locations,2.9k,45,--
Pramerica Life Insurance,3.8,868,Insurance | Gurgaon / Gurugram +123 other locations,2.3k,37,22
ivy,3.6,867,Software Product | Hyderabad / Secunderabad +11 other locations,6.8k,133,--
Signify,3.5,867,Consumer Electronics & Appliances | Bangalore / Bengaluru +79 other locations,4.1k,61,36
Reliance Power,4.0,866,Power | Singrauli +40 other locations,3.2k,58,--
Naukri,4.2,866,Internet | Noida +71 other locations,3k,209,1
Škoda Auto Volkswagen,4.0,865,Automobile | Pune +45 other locations,4.3k,42,17
KEI Industries,4.2,865,Electrical Equipment | New Delhi +93 other locations,3.1k,60,--
Defence Research & Development Organisation,4.4,865,Defence & Aerospace | Hyderabad / Secunderabad +51 other locations,3.5k,76,--
Sandhar Technologies,3.9,865,Auto Components | Gurgaon / Gurugram +30 other locations,3.4k,48,4
Tiger Analytics,3.6,864,IT Services & Consulting | Chennai +17 other locations,7.8k,236,22
Velocis Systems,3.8,864,IT Services & Consulting | New Delhi +51 other locations,4.9k,62,21
Volkswagen,4.2,862,Automobile | Pune +102 other locations,3k,50,--
Shriram General Insurance,3.5,860,Insurance | Jaipur +187 other locations,2.7k,39,--
Bhanzu,3.9,860,Bangalore / Bengaluru +14 other locations,1.1k,182,18
Aviva Life Insurance India,3.5,857,Insurance | Gurgaon / Gurugram +118 other locations,2.5k,30,23
Merino Industries,3.8,857,Building Material | New Delhi +71 other locations,3.3k,69,11
HomeLane,3.3,856,Architecture & Interior Design | Bangalore / Bengaluru +35 other locations,4k,92,48
Astral Adhesives,3.9,856,Chemicals | Ahmedabad +147 other locations,2.2k,47,--
Wonder Cement,4.2,855,Building Material | Nimbahera +99 other locations,3.4k,56,8
Test Yantra Software Solutions,3.1,853,IT Services & Consulting | Bangalore / Bengaluru +19 other locations,24.6k,136,16
Nityo Infotech,3.3,852,IT Services & Consulting | Bangalore / Bengaluru +31 other locations,4.9k,79,12
Egis  India Consulting Engineers,4.2,852,Engineering & Construction | Gurgaon / Gurugram +110 other locations,2.3k,54,3
Volvo,4.0,851,Automobile | Bangalore / Bengaluru +37 other locations,4.9k,74,37
Neel Metal Products,4.0,851,Metals & Mining | Gurgaon / Gurugram +36 other locations,2.6k,52,--
Nirma,4.2,850,FMCG | Bhavnagar +65 other locations,3k,48,--
Salcomp Manufacturing,4.0,850,Electronics Manufacturing | Chennai +26 other locations,4.1k,76,1
Hitachi Energy,4.1,849,Power | Chennai +34 other locations,6.3k,101,550
Next Education India,3.5,849,EdTech | Hyderabad / Secunderabad +93 other locations,2.7k,47,23
Schlumberger,3.8,848,Oil & Gas | Pune +33 other locations,5.1k,148,14
J B Chemicals And Pharmaceuticals,3.8,847,Pharma | Mumbai +87 other locations,3k,54,2
Godfrey Phillips India,3.9,846,FMCG | New Delhi +108 other locations,3.1k,39,--
Bosch Chassis Systems,4.1,846,Auto Components | Pune +22 other locations,2.7k,45,--
Tata Chemicals,4.1,845,Chemicals | Jamnagar +85 other locations,2.6k,75,5
GE Healthcare,3.9,845,Healthcare | Bangalore / Bengaluru +36 other locations,5.7k,80,--
Malabar Gold and Diamonds,3.9,845,Jewellery | Hyderabad / Secunderabad +118 other locations,2.3k,86,46
Serco,4.3,844,Analytics & KPO | Mumbai +40 other locations,1.2k,33,--
HT Media,3.1,844,Media & Entertainment | New Delhi +42 other locations,4.6k,57,14
Unity Small Finance Bank,3.7,843,Banking | Mumbai +125 other locations,3.6k,54,18
Vedanta Resources,3.7,842,Metals & Mining | Jharsuguda +70 other locations,4.7k,94,4
Yokohama Off-Highway Tires,3.7,840,Auto Components | Bharuch +35 other locations,3.8k,60,2
Knight Frank,4.0,839,Real Estate | Mumbai +47 other locations,3.1k,56,5
Bayer,4.1,839,Bangalore / Bengaluru +109 other locations,3.9k,54,--
Siemens Energy,4.1,838,Power | Pune +46 other locations,4.9k,95,4
ICCS,3.1,838,BPO | Noida +28 other locations,2.7k,61,15
Deepak Fertilisers and Petrochemicals,4.2,837,Chemicals | Mumbai +56 other locations,3.2k,45,18
Consolidated Contractors,4.5,837,Engineering & Construction | Mumbai +55 other locations,1.3k,35,--
Marsh McLennan,3.9,837,Financial Services | Mumbai +24 other locations,7.3k,46,14
Future Focus Infotech,3.4,835,IT Services & Consulting | Bangalore / Bengaluru +56 other locations,4.1k,56,--
Yashoda Hospitals,3.8,833,Healthcare | Hyderabad / Secunderabad +29 other locations,3.2k,61,19
SFO Technologies,3.4,832,IT Services & Consulting | Bangalore / Bengaluru +16 other locations,4.4k,43,42
Adani Enterprises,3.7,832,Metals & Mining | Ahmedabad +70 other locations,4.2k,97,3
Aristo Pharmaceuticals,3.9,831,Pharma | Mumbai +103 other locations,2.2k,47,6
Xceedance,3.6,830,Internet | Gurgaon / Gurugram +12 other locations,5.7k,119,1
Tafe Motors & Tractors,3.9,829,Automobile | Bhopal +67 other locations,2.7k,53,--
Arvind Lifestyle Brands,4.0,829,Retail | Bangalore / Bengaluru +85 other locations,1.9k,17,43
Marks & Spencer,4.0,828,Retail | New Delhi +59 other locations,2.8k,36,12
TNQ Tech Private Limited,3.5,828,Printing & Publishing | Chennai +13 other locations,3.9k,64,23
Feedback Infrastructure Services,3.3,828,Engineering & Construction | Gurgaon / Gurugram +128 other locations,2.5k,44,5
FastInfo,4.1,827,EdTech | Kolkata +8 other locations,816,79,--
Medhaj Techno Concept,3.9,825,Other | Lucknow +142 other locations,1.9k,55,11
Mahindra First Choice Wheels,3.8,824,Internet | Mumbai +116 other locations,3k,40,5
Michelin,3.8,823,Auto Components | Pune +46 other locations,4.6k,60,38
Alok Industries,3.6,823,Fashion & Textile | Silvassa / Dadra & Nagar Haveli +35 other locations,3.1k,46,2
SKH Metals,4.0,823,Auto Components | Gurgaon / Gurugram +23 other locations,2.6k,70,19
Parekh Integrated Services,4.1,821,Logistics | Mumbai +72 other locations,2.7k,39,25
SLMG Beverages,3.9,819,Beverage | Lucknow +70 other locations,2.9k,54,--
Guidehouse,3.7,819,Management Consulting | Chennai +16 other locations,4.8k,71,72
Rupeek,3.7,819,FinTech | Bangalore / Bengaluru +57 other locations,3.3k,67,15
LEAD School,3.3,818,EdTech | Mumbai +102 other locations,3.2k,92,2
Medha Servo Drives,4.2,817,Electrical Equipment | Hyderabad / Secunderabad +53 other locations,2.9k,82,--
Hinduja Housing Finance,3.6,818,NBFC | New Delhi +194 other locations,2.5k,39,15
Updater Services,3.7,817,Facility Management Services | Chennai +98 other locations,2.8k,46,23
Punj Lloyd,3.9,815,Engineering & Construction | Gurgaon / Gurugram +71 other locations,1.6k,19,--
Centum Electronics,3.6,814,Electronics Manufacturing | Bangalore / Bengaluru +17 other locations,3.6k,27,12
Amphenol Interconnect,4.2,814,Electrical Equipment | Pune +15 other locations,3.5k,42,3
Precision Infomatic M Pvt Ltd,3.8,814,IT Services & Consulting | Chennai +88 other locations,2.8k,51,5
Magna International,3.8,811,Auto Components | Pune +20 other locations,5.2k,49,104
Jabil Circuit India,3.9,810,Electronics Manufacturing | Pune +21 other locations,3.5k,51,19
Bechtel,3.8,810,Engineering & Construction | Gurgaon / Gurugram +29 other locations,3.3k,73,10
